"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"31 Mar 2024 23:33:31 UTC","21933240822","Order","204-8878064-1506743","WD22TB4NEW","DellDELL WD22TB4 Docking Thunderbolt Zwart (DELL-WD22TB4)","1","amazon.co.uk","Amazon","LIVINGSTON","","EH54 8RY","","147.91","29.58","1.66","0.33","0","0","-1.66","-0.33","0","-21.62","-3.90","0","0","151.97"
"1 Apr 2024 01:13:38 UTC","21933240822","Order","202-4967862-7875503","MY-0IHR-ICWL","Dell D3100 Docking Station 3, 0 Ultra HD Triple Video, 452-Bbot (Ultra HD Triple Video) (Renewed)","1","amazon.co.uk","Amazon","Colchester","","CO3 8DS","","63.32","12.67","0.83","0.17","0","0","-0.83","-0.17","0","-11.63","-3.90","0","0","60.46"
"1 Apr 2024 02:18:29 UTC","21933240822","Order","026-3582002-5081108","KE-YKQ1-JYS2","Dell P2219H 21.5 inch LED IPS Monitor - IPS Panel, Full HD 1080p, 8ms, HDMI","1","amazon.co.uk","Amazon","LONDON","","W1W 8AP","","90.82","18.16","0","0","0","0","0","0","0","-7.78","-10.24","0","0","90.96"
"1 Apr 2024 02:25:46 UTC","21933240822","Order","026-3582002-5081108","KE-YKQ1-JYS2","Dell P2219H 21.5 inch LED IPS Monitor - IPS Panel, Full HD 1080p, 8ms, HDMI","1","amazon.co.uk","Amazon","LONDON","","W1W 8AP","","90.82","18.16","0","0","0","0","0","0","0","-7.78","-10.24","0","0","90.96"
"1 Apr 2024 04:20:40 UTC","21933240822","Order","204-9276975-1855516","W6-TUC7-NPFN","Dell (Genuine) Quick Release PC Monitor Stand, Height, Tilt, Swivel, Rotate Adjustable. Fits most Dell screens up to 27""","1","amazon.co.uk","Amazon","Doncaster","Yorkshire and the Humber","DN11 0BG","","22.07","4.42","0","0","0","0","0","0","0","-4.05","-6.19","0","0","16.25"
"1 Apr 2024 09:05:15 UTC","21933240822","Order","205-8201538-4069907","6M-QNVK-QW75","Dell Dock WD19S 130W Black","1","amazon.co.uk","Amazon","LEEDS","","LS10 1NE","","128.32","25.66","0","0","0","0","0","0","0","-19.70","-3.77","0","0","130.51"
"1 Apr 2024 11:44:27 UTC","21933240822","Order","203-2334398-2108317","T450RNW","Lenovo 14 ThinkPad T450 Ultrabook - HDF+ (1600x900) Core i5-5300U 16GB 512GB SSD WebCam WiFi Bluetooth USB 3.0 Windows 10 Professional 64-bit PC Lapto","1","amazon.co.uk","Amazon","WIGAN","","WN5 9HR","","166.66","33.33","0","0","0","0","0","0","0","-14.28","-6.92","0","0","178.79"
"1 Apr 2024 11:58:17 UTC","21933240822","Order","204-3752265-3161900","73-I6VU-KVIH","Lenovo 40AF0135UK ThinkPad Hybrid USB-C with USB-A Dock - Docking station - USB-C - GigE - 135 Watt - GB - for ThinkPad L480 L580 T480s X1 Yoga X280 -","1","amazon.co.uk","Amazon","Derby","England","DE74 2BB","","99.99","20.00","0","0","0","0","0","0","0","-16.93","-3.90","0","0","99.16"
"1 Apr 2024 12:00:54 UTC","21933240822","Order","204-7819053-6453922","73-I6VU-KVIH","Lenovo 40AF0135UK ThinkPad Hybrid USB-C with USB-A Dock - Docking station - USB-C - GigE - 135 Watt - GB - for ThinkPad L480 L580 T480s X1 Yoga X280 -","1","amazon.co.uk","Amazon","Derby","England","DE74 2BB","","99.99","20.00","0","0","0","0","0","0","0","-16.93","-3.90","0","0","99.16"
"1 Apr 2024 12:31:42 UTC","21933240822","Order","206-0093529-7090767","HE-ITBU-GM7D","Dell WD19 USB-C Dock with 130W Power Adapter (Renewed)","1","amazon.co.uk","Amazon","EDINBURGH","Midlothian","EH14 2DL","","81.66","16.33","1.66","0.33","0","0","-1.66","-0.33","0","-14.99","-3.90","0","0","79.10"
