"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"31 Jul 2024 23:33:56 UTC","22631592742","Order","205-2290971-4778706","MY-0IHR-ICWL","Dell D3100 Docking Station 3, 0 Ultra HD Triple Video, 452-Bbot (Ultra HD Triple Video) (Renewed)","1","amazon.co.uk","Amazon","KENILWORTH","","CV8 1","","64.99","13.00","0","0","0","0","0","0","0","-14.32","-4.68","0","0","58.99"
"31 Jul 2024 23:35:51 UTC","22631592742","Order","202-7636569-4587522","ZD-Z7S8-4ZA1","Dell D6000 Usb-C Triple Docking Station, Up To Three 4K Displays Via Usb-C, Uhd 5K, Usb 3.0, Gigabit Ethernet, 130-Watt Ac Adapter, Charges Up To 65W","1","amazon.co.uk","Amazon","GLASGOW","","G13 3","","69.99","14.00","0","0","0","0","0","0","0","-15.42","-4.68","0","0","63.89"
"31 Jul 2024 23:47:21 UTC","22631592742","Refund","205-2244996-9845929","7U-X2MJ-KHWY","DELL U2515H ADZG 25-Inch LCD Monitor, 350 cd/m2, 2560 x 1440 at 60 Hz, IPS, 8ms, HDMI/DP/Mini DP/USB (Renewed)","1","amazon.co.uk","Amazon","WORCESTER","","WR1 1","","-95.82","-19.17","0","0","0","0","0","0","0","6.24","0","0","0","-108.75"
"1 Aug 2024 00:04:32 UTC","22631592742","Order","026-5773758-5798728","BL-VW07-9TIM","Lenovo Essential Compact Wireless Mouse, Black, 4Y50R20864","1","amazon.co.uk","Amazon","Bideford","Devon","EX39 5","","12.49","2.50","0","0","0","0","0","0","0","-2.75","-3.66","0","0","8.58"
"1 Aug 2024 00:40:55 UTC","22631592742","Order","203-9616116-7301942","MS116STKCL","Dell MS116 - Mouse - Optical - 2 Buttons - Wired - USB - Black - Retail - for Inspiron 17R 57XX, 17R 7720, Latitude D630, Optiplex 50XX, 5250, 90XX, X","9","amazon.co.uk","Amazon","BRISTOL","","BS11 9","","82.44","16.47","0","0","0","0","0","0","0","-18.14","-31.86","0","0","48.91"
"1 Aug 2024 00:40:55 UTC","22631592742","Order","203-9616116-7301942","MS116STKCL","Dell MS116 - Mouse - Optical - 2 Buttons - Wired - USB - Black - Retail - for Inspiron 17R 57XX, 17R 7720, Latitude D630, Optiplex 50XX, 5250, 90XX, X","1","amazon.co.uk","Amazon","BRISTOL","","BS11 9","","9.16","1.83","0","0","0","0","0","0","0","-2.02","-3.54","0","0","5.43"
"1 Aug 2024 00:41:06 UTC","22631592742","Order","203-8481279-2927549","MS116STKCL","Dell MS116 - Mouse - Optical - 2 Buttons - Wired - USB - Black - Retail - for Inspiron 17R 57XX, 17R 7720, Latitude D630, Optiplex 50XX, 5250, 90XX, X","1","amazon.co.uk","Amazon","BRISTOL","","BS1 6","","9.16","1.83","0","0","0","0","0","0","0","-2.02","-3.54","0","0","5.43"
"1 Aug 2024 00:52:44 UTC","22631592742","Order","205-9974241-2242744","ZD-Z7S8-4ZA1","Dell D6000 Usb-C Triple Docking Station, Up To Three 4K Displays Via Usb-C, Uhd 5K, Usb 3.0, Gigabit Ethernet, 130-Watt Ac Adapter, Charges Up To 65W","1","amazon.co.uk","Amazon","LEIGHTON BUZZARD","","LU7 4","","69.99","14.00","0","0","0","0","0","0","0","-15.42","-4.68","0","0","63.89"
"1 Aug 2024 00:56:36 UTC","22631592742","Order","205-7813640-2723529","2U-9LNX-SHSD","Microsoft Surface Dock 2 - for Notebook/Desktop PC/Smartphone/Monitor/Keyboard/Mouse - 199 W - 6 x USB Ports - Network (RJ-45) - Wired","1","amazon.co.uk","Amazon","Harpenden","Herts","AL5 5","","133.32","26.67","0","0","0","0","0","0","0","-24.24","-4.20","0","0","131.55"
"1 Aug 2024 01:12:45 UTC","22631592742","Order","203-9670983-7191532","BL-VW07-9TIM","Lenovo Essential Compact Wireless Mouse, Black, 4Y50R20864","3","amazon.co.uk","Amazon","CHIPPENHAM","","SN15 5","","37.47","7.50","0","0","0","0","0","0","0","-8.24","-10.98","0","0","25.75"
"1 Aug 2024 01:15:18 UTC","22631592742","Order","202-3292742-2797924","TL-9EFK-FLUU","Dell WD19S Docking Station with 130W Power Supply (Refurbished)","1","amazon.co.uk","Amazon","DARTFORD","","DA2 8","","83.29","16.66","0","0","0","0","0","0","0","-18.35","-4.52","0","0","77.08"
"1 Aug 2024 01:15:44 UTC","22631592742","Order","205-5830573-1007543","MY-0IHR-ICWL","Dell D3100 Docking Station 3, 0 Ultra HD Triple Video, 452-Bbot (Ultra HD Triple Video) (Renewed)","1","amazon.co.uk","Amazon","ROCHESTER","","ME2 3","","64.99","13.00","0","0","0","0","0","0","0","-14.32","-4.68","0","0","58.99"
"1 Aug 2024 02:22:12 UTC","22631592742","Order","206-0814746-4053125","MY-0IHR-ICWL","Dell D3100 Docking Station 3, 0 Ultra HD Triple Video, 452-Bbot (Ultra HD Triple Video) (Renewed)","1","amazon.co.uk","Amazon","SHARNBROOK","","MK44 1","","70.82","14.16","0","0","0","0","0","0","0","-13.00","-3.90","0","0","68.08"
"1 Aug 2024 03:11:31 UTC","22631592742","Order","026-6186012-4701952","73-I6VU-KVIH","Lenovo 40AF0135UK ThinkPad Hybrid USB-C with USB-A Dock - Docking station - USB-C - GigE - 135 Watt - GB - for ThinkPad L480 L580 T480s X1 Yoga X280 -","6","amazon.co.uk","Amazon","BARGOED","","CF81 8","","579.96","115.98","0","0","0","0","0","0","0","-99.60","-23.40","0","0","572.94"
"1 Aug 2024 03:11:53 UTC","22631592742","Order","205-0074604-9408319","MS116STKCL","Dell MS116 - Mouse - Optical - 2 Buttons - Wired - USB - Black - Retail - for Inspiron 17R 57XX, 17R 7720, Latitude D630, Optiplex 50XX, 5250, 90XX, X","1","amazon.co.uk","Amazon","GLASGOW","","G75 8","","9.16","1.83","0","0","0","0","0","0","0","-1.68","-2.95","0","0","6.36"
"1 Aug 2024 03:14:32 UTC","22631592742","Order","026-0838969-0268366","HE-ITBU-GM7D","Dell WD19 USB-C Dock with 130W Power Adapter (Renewed)","1","amazon.co.uk","Amazon","WEMBLEY","","HA9 0","","70.79","14.16","0","0","0","0","0","0","0","-13.00","-4.00","0","0","67.95"
"1 Aug 2024 03:20:18 UTC","22631592742","Order","202-7991949-2433152","HE-ITBU-GM7D","Dell WD19 USB-C Dock with 130W Power Adapter (Renewed)","1","amazon.co.uk","Amazon","TAFFS WELL","","CF15 7","","70.79","14.16","0","0","0","0","0","0","0","-13.00","-4.00","0","0","67.95"
